from,to,R,X,bsh,a,phi,Imax
01,02,0.0192,0.0575,0.0528,1.000,0.0,0.0
01,03,0.0452,0.1652,0.0408,1.000,0.0,0.0
02,04,0.0570,0.1737,0.0368,1.000,0.0,0.0
03,04,0.0132,0.0379,0.0084,1.000,0.0,0.0
02,05,0.0472,0.1983,0.0418,1.000,0.0,0.0
02,06,0.0581,0.1763,0.0374,1.000,0.0,0.0
04,06,0.0119,0.0414,0.0090,1.000,0.0,0.0
05,07,0.0460,0.1160,0.0204,1.000,0.0,0.0
06,07,0.0267,0.0820,0.0170,1.000,0.0,0.0
06,08,0.0120,0.0420,0.0090,1.000,0.0,0.0
06,09,0.0000,0.2080,0.0000,0.978,0.0,0.0
06,10,0.0000,0.5560,0.0000,0.969,0.0,0.0
09,11,0.0000,0.2080,0.0000,1.000,0.0,0.0
09,10,0.0000,0.1100,0.0000,1.000,0.0,0.0
04,12,0.0000,0.2560,0.0000,0.932,0.0,0.0
12,13,0.0000,0.1400,0.0000,1.000,0.0,0.0
12,14,0.1231,0.2559,0.0000,1.000,0.0,0.0
12,15,0.0662,0.1304,0.0000,1.000,0.0,0.0
12,16,0.0945,0.1987,0.0000,1.000,0.0,0.0
14,15,0.2210,0.1997,0.0000,1.000,0.0,0.0
16,17,0.0524,0.1923,0.0000,1.000,0.0,0.0
15,18,0.1073,0.2185,0.0000,1.000,0.0,0.0
18,19,0.0639,0.1292,0.0000,1.000,0.0,0.0
19,20,0.0340,0.0680,0.0000,1.000,0.0,0.0
10,20,0.0936,0.2090,0.0000,1.000,0.0,0.0
10,17,0.0324,0.0845,0.0000,1.000,0.0,0.0
10,21,0.0348,0.0749,0.0000,1.000,0.0,0.0
10,22,0.0727,0.1499,0.0000,1.000,0.0,0.0
21,22,0.0116,0.0236,0.0000,1.000,0.0,0.0
15,23,0.1000,0.2020,0.0000,1.000,0.0,0.0
22,24,0.1150,0.1790,0.0000,1.000,0.0,0.0
23,24,0.1320,0.2700,0.0000,1.000,0.0,0.0
24,25,0.1885,0.3292,0.0000,1.000,0.0,0.0
25,26,0.2544,0.3800,0.0000,1.000,0.0,0.0
25,27,0.1093,0.2087,0.0000,1.000,0.0,0.0
28,27,0.0000,0.3960,0.0000,0.968,0.0,0.0
27,29,0.2198,0.4153,0.0000,1.000,0.0,0.0
27,30,0.3202,0.6027,0.0000,1.000,0.0,0.0
29,30,0.2399,0.4533,0.0000,1.000,0.0,0.0
08,28,0.0636,0.2000,0.0428,1.000,0.0,0.0
06,28,0.0169,0.0599,0.0130,1.000,0.0,0.0
