ob,Type,Tb,PD,QD,PG,QG,bsh,ap,aq,bp,bq,cp,cq
01,SL,1.060,00.0,00.0,0.00,0.0,0.000,1,1,0.000,0.000,0.000,0.000
02,PV,1.045,21.7,12.7,40.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
03,PQ,1.000,02.4,01.2,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
04,PQ,1.000,07.6,01.6,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
05,PV,1.010,94.2,19.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
06,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
07,PQ,1.000,22.8,10.9,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
08,PV,1.010,30.0,30.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
09,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
10,PQ,1.000,05.8,02.0,00.0,0.0,0.190,1,1,0.190,0.190,0.190,0.190
11,PV,1.082,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
12,PQ,1.000,11.2,07.5,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
13,PV,1.071,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
14,PQ,1.000,06.2,01.6,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
15,PQ,1.000,08.2,02.5,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
16,PQ,1.000,03.5,01.8,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
17,PQ,1.000,09.0,05.8,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
18,PQ,1.000,03.2,00.9,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
19,PQ,1.000,09.5,03.4,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
20,PQ,1.000,02.2,00.7,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
21,PQ,1.000,17.5,11.2,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
22,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
23,PQ,1.000,03.2,01.6,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
24,PQ,1.000,08.7,06.7,00.0,0.0,0.043,1,1,0.043,0.043,0.043,0.043
25,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
26,PQ,1.000,03.5,02.3,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
27,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
28,PQ,1.000,00.0,00.0,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
29,PQ,1.000,02.4,00.9,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
30,PQ,1.000,10.6,01.9,00.0,0.0,0.000,1,1,0.000,0.000,0.000,0.000
